[2024-03-14 01:53:54,321: INFO: main: Welcome Ali Mustaf Ali.]
[2024-03-14 03:01:29,500: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-14 03:01:29,679: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-14 03:01:29,681: INFO: common: created directory at: artifacts]
[2024-03-14 03:01:29,685: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-14 03:01:29,687: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1LrVMghN3dL4vK8RzTKQl_foCAOTtPrMW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-14 03:01:32,855: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1LrVMghN3dL4vK8RzTKQl_foCAOTtPrMW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-14 03:15:47,351: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-14 03:15:47,353: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-14 03:15:47,354: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-14 03:15:47,354: INFO: common: created directory at: artifacts]
[2024-03-14 03:15:47,355: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-14 03:15:47,356: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1LrVMghN3dL4vK8RzTKQl_foCAOTtPrMW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-14 03:15:50,491: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1LrVMghN3dL4vK8RzTKQl_foCAOTtPrMW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-14 03:15:50,515: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
